code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
253590,네오셈,19100,7,-3.09,13.96,26313306000,1,1,0,0,1,0,5.0_stable,all_fallback,4,18813.5,18527.0,17971.19,19959.5,20819.0,842.31,1.36,1.5,WATCH,관찰 필요,1
8830,대동기어,21750,7,2.11,-14.03,24960017250,1,1,1,0,1,0,5.1_swing,all_fallback,3,21423.75,21097.5,20464.58,22728.75,23707.5,959.17,1.36,1.5,WATCH,관찰 필요,1
15750,성우하이텍,9490,7,-10.3,10.74,11709521200,1,1,0,0,1,0,5.0_stable,all_fallback,4,9347.65,9205.3,8929.14,9917.05,10344.1,418.51,1.36,1.5,WATCH,관찰 필요,1
200710,에이디테크놀로지,47700,7,-0.31,11.45,8443329300,1,1,0,0,1,0,5.1_swing,all_fallback,3,46984.5,46269.0,44880.93,49846.5,51993.0,2103.57,1.36,1.5,WATCH,관찰 필요,1
432720,퀄리타스반도체,14350,7,2.5,11.24,7553395150,1,1,0,0,1,0,5.1_swing,all_fallback,3,14134.75,13919.5,13501.91,14995.75,15641.5,632.84,1.36,1.5,WATCH,관찰 필요,1
475230,엔알비,24750,7,2.27,3.34,6947003250,0,1,1,0,1,0,5.1_swing,all_fallback,3,24378.75,24007.5,23287.27,25863.75,26977.5,1091.48,1.36,1.5,WATCH,관찰 필요,1
336370,솔루스첨단소재,8670,7,2.85,-8.64,3927830790,1,1,1,0,1,0,5.1_swing,all_fallback,3,8539.95,8409.9,8157.6,9060.15,9450.3,382.35,1.36,1.5,WATCH,관찰 필요,1
36890,진성티이씨,17020,7,-3.84,5.0,3826572560,1,1,0,0,1,0,5.1_swing,all_fallback,3,16764.7,16509.4,16014.12,17785.9,18551.8,750.58,1.36,1.5,WATCH,관찰 필요,1
9900,명신산업,10480,7,-5.42,12.45,3629926160,1,1,0,0,1,0,5.1_swing,all_fallback,3,10322.8,10165.6,9860.63,10951.6,11423.2,462.17,1.36,1.5,WATCH,관찰 필요,1
16380,KG스틸,5920,7,4.41,-1.82,3370321120,1,1,1,0,1,0,5.1_swing,all_fallback,3,5831.2,5742.4,5570.13,6186.4,6452.8,261.07,1.36,1.5,WATCH,관찰 필요,1
59120,아진엑스텍,7760,7,3.19,4.86,3209380800,1,1,0,0,1,0,5.1_swing,all_fallback,3,7643.6,7527.2,7301.38,8109.2,8458.4,342.22,1.36,1.5,WATCH,관찰 필요,1
