스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.1_swing,all,082640,동양생명,8810,9100,6.47,3.29
5.1_swing,all,100790,미래에셋벤처투자,22850,22300,1.75,-2.41
5.1_swing,all,183300,코미코,118900,120300,3.95,1.18
5.1_swing,all,001740,SK네트웍스,5490,5340,2.19,-2.73
5.1_swing,all,213420,덕산네오룩스,44500,47950,9.66,7.75
5.1_swing,all,295310,에이치브이엠,92200,92300,1.19,0.11
5.1_swing,all,006120,SK디스커버리,60300,62600,5.14,3.81
5.1_swing,all,420770,기가비스,78400,78700,3.19,0.38
5.1_swing,all,126340,비나텍,139400,143700,7.39,3.08
5.1_swing,all,468530,프로티나,81800,80900,1.34,-1.1
5.1_swing,all,078160,메디포스트,23200,22500,0.0,-3.02
5.1_swing,all,001510,SK증권,2180,2585,28.21,18.58
5.1_swing,all,253590,네오셈,18750,19100,3.63,1.87
5.1_swing,all,102710,이엔에프테크놀로지,56600,55000,1.94,-2.83
5.1_swing,all,425420,티에프이,60700,67500,12.19,11.2
5.1_swing,all,060280,큐렉소,15520,15230,1.1,-1.87
5.1_swing,all,200710,에이디테크놀로지,46600,47700,2.47,2.36
5.1_swing,all,077360,덕산하이메탈,12330,11860,3.57,-3.81
5.1_swing,all,083450,GST,30000,30100,0.83,0.33
5.1_swing,all,079370,제우스,17860,17500,1.29,-2.02
5.1_swing,all,105840,우진,26150,31200,21.22,19.31
5.1_swing,all,101160,월덱스,31050,31500,1.61,1.45
5.1_swing,all,001200,유진투자증권,4970,5240,7.44,5.43
5.1_swing,all,900290,GRT,6010,6010,3.66,0.0
