등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSDAQ,064850,에프앤가이드,20500,7.61,43.86,6319760500,4,3,3,5,15,Y,Y,20260317
B,KOSPI,000520,삼일제약,10580,5.06,-1.31,5094523920,2,4,3,4,13,Y,Y,20260317
A,KOSDAQ,321550,티움바이오,7800,9.55,24.8,8313442800,5,5,4,5,19,Y,Y,20260317
A,KOSDAQ,425040,티이엠씨,10270,12.49,8.68,54189377710,5,4,4,5,18,Y,Y,20260317
B,KOSDAQ,388050,지투파워,11590,8.12,20.1,12724243760,3,3,3,4,13,Y,Y,20260317
A,KOSDAQ,380540,옵티코어,4360,10.1,33.54,35441751120,4,5,4,5,18,Y,Y,20260317
B,KOSDAQ,232680,라온로보틱스,15830,5.96,-12.15,7785716390,3,4,3,5,15,Y,Y,20260317
A,KOSDAQ,000440,중앙에너비스,32450,10.56,97.87,64103287600,4,4,3,5,16,Y,Y,20260317
B,KOSDAQ,432720,퀄리타스반도체,13700,11.93,4.66,9058426300,4,4,2,5,15,Y,Y,20260317
A,KOSDAQ,282720,금양그린파워,15840,12.34,25.61,47258671680,5,4,4,5,18,Y,Y,20260317
A,KOSDAQ,389030,지니너스,5700,14.57,79.81,7040628600,5,3,5,4,17,Y,Y,20260317
B,KOSDAQ,052710,아모텍,12920,2.46,14.84,6115501120,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,005860,한일사료,4390,5.66,42.53,32603318360,4,4,3,4,15,Y,Y,20260317
A,KOSDAQ,039560,다산네트웍스,4325,11.47,12.19,7167844125,3,5,3,5,16,Y,Y,20260317
B,KOSDAQ,225190,LK삼양,2295,10.34,-12.4,15068063475,3,4,3,5,15,Y,Y,20260317
B,KOSPI,011700,한신기계,4970,10.44,8.28,6796151950,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,054620,APS,8660,12.91,88.88,5278754960,4,3,4,4,15,Y,Y,20260317
B,KOSDAQ,065450,빅텍,5000,1.11,27.23,11281020000,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,083500,에프엔에스테크,15600,7.14,-3.41,8476915200,3,4,3,5,15,Y,Y,20260317
B,KOSPI,004140,동방,2710,1.69,2.65,5834784470,3,3,3,4,13,Y,Y,20260317
